"STOP_ID","AGENCY_ID_TRANS","AGENCY_DESC"
1026,1,"C-Tran"
5027,1,"C-Tran"
5028,1,"C-Tran"
5032,1,"C-Tran"
5975,1,"C-Tran"
7602,1,"C-Tran"
7612,1,"C-Tran"
7625,1,"C-Tran"
7765,1,"C-Tran"
7772,1,"C-Tran"
7782,1,"C-Tran"
7807,1,"C-Tran"
8455,1,"C-Tran"
8886,1,"C-Tran"
9301,1,"C-Tran"
9488,1,"C-Tran"
10612,1,"C-Tran"
10642,1,"C-Tran"
10856,1,"C-Tran"
11814,1,"C-Tran"
12919,1,"C-Tran"
13504,1,"C-Tran"
13629,1,"C-Tran"
13748,1,"C-Tran"
13484,12,"CAT (Canby)"
9472,11,"CAT (Gorge)"
9481,11,"CAT (Gorge)"
10191,11,"CAT (Gorge)"
5359,5,"CC Rider"
6458,5,"CC Rider"
8437,5,"CC Rider"
11490,5,"CC Rider"
12754,5,"CC Rider"
14019,16,"CCC Xpress"
1351,13,"Clack Co"
1385,13,"Clack Co"
1404,13,"Clack Co"
2837,13,"Clack Co"
2841,13,"Clack Co"
2868,13,"Clack Co"
2888,13,"Clack Co"
2891,13,"Clack Co"
3020,13,"Clack Co"
3024,13,"Clack Co"
3410,13,"Clack Co"
3414,13,"Clack Co"
3842,13,"Clack Co"
3990,13,"Clack Co"
3994,13,"Clack Co"
6114,13,"Clack Co"
6115,13,"Clack Co"
6121,13,"Clack Co"
7620,13,"Clack Co"
8071,13,"Clack Co"
8073,13,"Clack Co"
8079,13,"Clack Co"
8082,13,"Clack Co"
8083,13,"Clack Co"
8084,13,"Clack Co"
8086,13,"Clack Co"
8430,13,"Clack Co"
9005,13,"Clack Co"
9042,13,"Clack Co"
9517,13,"Clack Co"
10234,13,"Clack Co"
10235,13,"Clack Co"
11932,13,"Clack Co"
13484,13,"Clack Co"
13592,13,"Clack Co"
14019,13,"Clack Co"
1241,15,"Mult Co"
3147,15,"Mult Co"
3148,15,"Mult Co"
3210,15,"Mult Co"
4770,15,"Mult Co"
9105,15,"Mult Co"
9106,15,"Mult Co"
9619,15,"Mult Co"
10732,15,"Mult Co"
10733,15,"Mult Co"
10734,15,"Mult Co"
10856,15,"Mult Co"
11009,15,"Mult Co"
13913,15,"Mult Co"
35,14,"Ride Cxn"
501,14,"Ride Cxn"
3778,14,"Ride Cxn"
4289,14,"Ride Cxn"
8249,14,"Ride Cxn"
8285,14,"Ride Cxn"
9923,14,"Ride Cxn"
1555,3,"SAM"
1556,3,"SAM"
1557,3,"SAM"
1558,3,"SAM"
1559,3,"SAM"
1560,3,"SAM"
1561,3,"SAM"
1562,3,"SAM"
1563,3,"SAM"
1564,3,"SAM"
1565,3,"SAM"
1566,3,"SAM"
1567,3,"SAM"
1568,3,"SAM"
3720,3,"SAM"
4518,3,"SAM"
4520,3,"SAM"
4521,3,"SAM"
4528,3,"SAM"
4529,3,"SAM"
4531,3,"SAM"
4545,3,"SAM"
4546,3,"SAM"
4638,3,"SAM"
4639,3,"SAM"
7745,3,"SAM"
7750,3,"SAM"
7770,3,"SAM"
8315,3,"SAM"
8442,3,"SAM"
8461,3,"SAM"
8685,3,"SAM"
8722,3,"SAM"
8723,3,"SAM"
8838,3,"SAM"
8857,3,"SAM"
8993,3,"SAM"
8995,3,"SAM"
9430,3,"SAM"
9520,3,"SAM"
9521,3,"SAM"
9561,3,"SAM"
9562,3,"SAM"
10138,3,"SAM"
10139,3,"SAM"
10214,3,"SAM"
10216,3,"SAM"
10275,3,"SAM"
10835,3,"SAM"
10836,3,"SAM"
10859,3,"SAM"
11453,3,"SAM"
11454,3,"SAM"
11520,3,"SAM"
12921,3,"SAM"
12922,3,"SAM"
13033,3,"SAM"
13077,3,"SAM"
13247,3,"SAM"
13248,3,"SAM"
13473,3,"SAM"
13474,3,"SAM"
13885,3,"SAM"
13887,3,"SAM"
13889,3,"SAM"
13890,3,"SAM"
14029,3,"SAM"
14030,3,"SAM"
14055,3,"SAM"
9484,2,"SMART"
13566,4,"The Wave"
1624,7,"WPTMA"
3277,7,"WPTMA"
3291,7,"WPTMA"
4351,7,"WPTMA"
10300,7,"WPTMA"
11091,7,"WPTMA"
11151,7,"WPTMA"
13253,7,"WPTMA"
4260,6,"YCTA"
4316,6,"YCTA"
13656,6,"YCTA"
