id,gtfs,alerts,trips,vehicles,map_only,fuzzy_trips
CLACKAMAS,https://s3.amazonaws.com/datatools-flex/public/Clackamas_County_Flex_v2.zip,https://passio3.com/clackamas/passioTransit/gtfs/realtime/serviceAlerts,https://passio3.com/clackamas/passioTransit/gtfs/realtime/tripUpdates,https://passio3.com/clackamas/passioTransit/gtfs/realtime/vehiclePositions,,TRUE
CTRAN,https://s3.amazonaws.com/datatools-flex/public/C-TRAN.zip,,http://gtfs-rt.c-tran.org/gtfsrealtime/TripUpdates,http://gtfs-rt.c-tran.org/gtfsrealtime/VehiclePositions,,
CTRAN_FLEX,https://s3.amazonaws.com/datatools-flex/public/C-TRAN_Flex.zip,,,,,
MULT,https://s3.amazonaws.com/datatools-flex/public/Multnomah_County_w_Flex.zip,,,,,
RIDECONNECTION,https://s3.amazonaws.com/datatools-flex/public/Ride_Connection_w_Flex.zip,,,,,
SAM,https://s3.amazonaws.com/datatools-flex/public/Sandy_Area_Metro_Flex_v2.zip,https://passio3.com/sandyor/passioTransit/gtfs/realtime/serviceAlerts,https://passio3.com/sandyor/passioTransit/gtfs/realtime/tripUpdates,https://passio3.com/sandyor/passioTransit/gtfs/realtime/vehiclePositions,,TRUE
SMART,https://s3.amazonaws.com/datatools-flex/public/SMART.zip,https://mysmartbus.com/gtfs-rt/alerts,https://mysmartbus.com/gtfs-rt/tripupdates,https://mysmartbus.com/gtfs-rt/vehiclepositions,,
TRIMET,https://developer.trimet.org/schedule/gtfs.zip,http://trimet.org/transweb/ws/V1/FeedSpecAlerts/includeFuture/true/suppressSystemWideAlerts/true,http://trimet.org/transweb/ws/V1/TripUpdate,http://trimet.org/transweb/ws/V1/VehiclePositions,,
WAPARK,https://s3.amazonaws.com/datatools-flex/public/Washington_Park_Shuttle.zip,,,https://ewp.transloc.com/subscriptions/gtfsrt/vehicles.ashx,,TRUE
# https://s3.amazonaws.com/datatools-flex/public/index.html, <<< list of feeds in datatools,,,,
# BELOW ARE, OTHER REGIONAL AGENCIES, (not in 1st RTP release),,,,
#CTRAN,https://www.c-tran.com/images/Google/GoogleTransitUpload.zip,,http://gtfs-rt.c-tran.org/gtfsrealtime/TripUpdates,http://gtfs-rt.c-tran.org/gtfsrealtime/VehiclePositions,,
#SMART,https://mysmartbus.com/gtfs,https://mysmartbus.com/gtfs-rt/alerts,https://mysmartbus.com/gtfs-rt/tripupdates,https://mysmartbus.com/gtfs-rt/vehiclepositions,,
#CANBY,https://oregon-gtfs.trilliumtransit.com/gtfs_data/canbytransit-or-us/canbytransit-or-us.zip,,,,,
#CANBYFERRY,https://oregon-gtfs.trilliumtransit.com/gtfs_data/canbyferry-or-us/canbyferry-or-us.zip,,,,,
#CAT,https://oregon-gtfs.trilliumtransit.com/gtfs_data/hoodriver-or-us/hoodriver-or-us.zip,,,,,
#CCRIDER,https://oregon-gtfs.trilliumtransit.com/gtfs_data/columbiacounty-or-us/columbiacounty-or-us.zip,,,,,
#CHERRIOTS,https://www.cherriots.org/media/doc/gtfs.zip,,,,,
#MATS,https://data.trilliumtransit.com/gtfs/mountadams-wa-us/mountadams-wa-us.zip,,,,,
#SCTD,http://oregon-gtfs.com/gtfs_data/sctd-or-us/sctd-or-us.zip,,,,,
#SKAMANIA,https://data.trilliumtransit.com/gtfs/skamaniacounty-wa-us/skamaniacounty-wa-us.zip,,,,,
#WOODBURN,https://oregon-gtfs.trilliumtransit.com/gtfs_data/woodburn-or-us/woodburn-or-us.zip,,,,,
#YAMHILL,http://ycta.connexionz.net/rtt/public/resource/gtfs.zip,https://ycta.connexionz.net/rtt/public/utility/gtfsrealtime.aspx/alert,https://ycta.connexionz.net/rtt/public/utility/gtfsrealtime.aspx/tripupdate,https://ycta.connexionz.net/rtt/public/utility/gtfsrealtime.aspx/vehicleposition,,
# TOO BIG - AMTRAK,https://content.amtrak.com/content/gtfs/GTFS.zip,A,T,V,MO,TRUE
# FLEX,http://gtfs.gis.flix.tech/gtfs_generic_us.zip,,,,,
# POINT,https://oregon-gtfs.trilliumtransit.com/gtfs_data/point-or-us/point-or-us.zip,,,,,
# TILLAMOOK,https://oregon-gtfs.trilliumtransit.com/gtfs_data/tillamookcounty-or-us/tillamookcounty-or-us.zip,http://gtfs-realtime.trilliumtransit.com/gtfs-realtime/feed/tillamook-or-us/service_alerts.proto,,,,
# NO ZIP - WAHKIAKUMFERRY,https://oregon-gtfs.trilliumtransit.com/gtfs_data/wahkiakumferry-wa-us/wahkiakumferry-wa-us.zip,,,,,
